Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,2019-02-17,,999-65-3251,,,,Damon455,Langosh790,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,01104,42.08038942501558,-72.48043144917739,9039.1645,7964.1255
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-07-04,,999-49-3323,S99941126,,,Thi53,Wunsch504,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.03521335752818,-71.48251904737748,402723.415,14064.135000000002
339144f8-50e1-633e-a013-f361391c4cff,1998-05-11,,999-10-8743,S99996708,X75063318X,Mr.,Chi716,Greenfelder433,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,02131,42.29255662362827,-71.06116042204106,571935.8725,787.5374999999999
d488232e-bf14-4bed-08c0-a82f34b6a197,2003-01-28,,999-56-6057,S99929424,,Ms.,Phillis443,Walter473,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,02043,42.200490824321214,-70.91607557520302,582557.803,104782.20699999998
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,1993-12-23,,999-91-4320,S99991143,X44132498X,Mr.,Jerrold404,Herzog843,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.3818748756275,-70.99928578468784,475826.855,18067.094999999998
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,2020-12-04,,999-31-8261,,,,Brandon214,Watsica258,,,,white,nonhispanic,F,Northborough  Massachusetts  US,734 Brakus Pathway Unit 28,New Marlborough,Massachusetts,Berkshire County,,42.147028011364384,-73.21710320353982,31468.039999999997,206.21999999999997
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,1990-12-15,,999-60-9905,S99950633,X36202735X,Mr.,Rodrigo242,Arellano2,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,02151,42.44326150073713,-71.02232158016432,772362.7250000001,2213.085
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,1985-06-05,,999-93-3123,S99913090,X72720258X,Mr.,Sal878,Hoppe518,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,02138,42.363459871015344,-71.1022528716212,924957.2675000001,874.3724999999998
0288c42c-43a1-9878-4a9d-6b96caa12c40,1979-12-17,,999-68-7908,S99962050,X4451825X,Mrs.,Miki234,Kozey370,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,02472,42.337425423321065,-71.1066547010483,1134817.5705,226909.95949999997
dc6c06d0-a7d8-100f-c08b-46c93700c188,2006-07-11,,999-30-6555,,,,Taylor21,Gulgowski816,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,1037 Hills Extension,Springfield,Massachusetts,Hampden County,01013,42.13505594447831,-72.48174986407135,390675.5774999999,1826.3324999999998
61a2fcc0-d679-764c-7d86-b885b2c4907f,1993-01-22,,999-98-2186,S99988392,X72124702X,Mrs.,Erline657,Metz686,,Strosin214,M,white,nonhispanic,F,Mashpee  Massachusetts  US,566 Rosenbaum Ferry,Holbrook,Massachusetts,Norfolk County,,42.15188021171504,-70.95230839472299,1223457.8099999998,160.1399999999999
c0219ca9-576f-f7c2-9c44-de030e94969b,1971-12-06,,999-24-2120,S99951566,X2456540X,Mrs.,Beatriz277,Urías338,,Villalpando154,M,white,hispanic,F,Lima  Lima Province  PE,497 Bahringer Crossing,Somerville,Massachusetts,Middlesex County,02138,42.37578548998286,-71.0903966734203,1509753.9109999996,968261.8390000002
cb8c092a-99aa-6c9c-1ec1-660f0b00549d,1990-12-28,,999-74-6572,S99980075,X57149020X,Mrs.,Kari181,Douglas31,,Langworth352,M,white,nonhispanic,F,Framingham  Massachusetts  US,413 Auer Burg Suite 64,Wellesley,Massachusetts,Norfolk County,02457,42.33060400351942,-71.30822395704439,1040518.45,22454.940000000002
97a20cf9-630d-939c-2f50-f13c434aee2f,1984-03-23,,999-16-8479,S99946662,X72015493X,Mrs.,Mayme605,Walter473,,Lesch175,M,white,nonhispanic,F,Blackstone  Massachusetts  US,441 Rodriguez Bridge,Boston,Massachusetts,Suffolk County,02129,42.36692392477457,-71.06483073606317,1622874.1175,74751.4725
55a6a46e-a1a4-0298-e58f-c0cb27cbb022,1958-09-18,2009-11-13,999-79-5115,S99956983,X26820988X,Mrs.,Maddie576,Gutmann970,,Blanda868,M,white,nonhispanic,F,Boston  Massachusetts  US,577 Schmeler Frontage road Unit 7,Quincy,Massachusetts,Norfolk County,02169,42.31470215557375,-71.02700529599232,2895617.6040000003,312276.306
961f61f8-ed32-f113-8450-192064b49aa9,2002-06-13,,999-91-5120,S99910835,,Ms.,Jessia669,Wisoky380,,,,white,nonhispanic,F,Southwick  Massachusetts  US,106 Kerluke Rest Apt 5,Abington,Massachusetts,Plymouth County,02351,42.15407876921348,-70.95799628981261,485313.58999999997,1825.08
9acc871f-b577-5530-b8ad-fa95b58cea25,1985-03-24,,999-59-7726,S99918599,X14875434X,Mrs.,Lavinia262,Heaney114,,Maggio310,M,white,nonhispanic,F,Cambridge  Massachusetts  US,446 Kreiger Route,Brookline,Massachusetts,Norfolk County,02446,42.29712690939835,-71.14523956657307,1425692.5085,154972.8415
1d3d0ba6-5475-07c2-0b40-562ad75fdf26,1960-01-21,,999-26-4708,S99981133,X33683613X,Mrs.,Laurena366,Heidenreich818,,Becker968,M,white,nonhispanic,F,Lawrence  Massachusetts  US,1039 Gerhold Ramp Apt 20,East Longmeadow,Massachusetts,Hampden County,,42.08768743567022,-72.526566787277,774382.0569999996,247928.61299999998
